Genero_Usuario,Edad_Usuario,Ciclo_Estacion_Retiro,Ciclo_Estacion_Arribo,Usage_Timestamp,Duration(Min)
M,57,24,8,2011-07-28 10:05:35.330,6.5
F,26,31,1,2011-07-30 11:39:34.640,7.8
M,60,33,62,2011-08-01 08:18:14.013,10.5
M,51,24,6,2011-08-02 15:06:09.080,5.7
F,31,10,38,2011-08-04 18:47:34.440,19.0
M,36,46,64,2011-08-05 21:09:17.900,6.5
M,18,74,70,2011-08-07 20:57:20.287,7.6
M,28,73,76,2011-08-08 14:21:51.240,3.9
M,45,70,21,2011-08-10 17:30:04.803,8.5
M,40,61,47,2011-08-11 16:43:17.397,5.2
M,35,64,90,2011-08-12 19:10:54.787,23.9
M,60,67,77,2011-08-14 20:52:45.123,3.1
M,31,61,44,2011-08-15 14:53:26.303,4.8
F,38,64,50,2011-08-16 17:02:13.713,8.9
F,35,28,13,2011-08-18 15:33:24.000,3.5
M,30,21,75,2011-08-19 22:30:16.000,15.9
M,33,1,17,2011-08-21 17:06:36.000,5.6
M,31,19,52,2011-08-23 16:19:19.000,10.9
M,39,29,87,2011-08-24 18:15:33.610,8.0
M,28,35,33,2011-08-25 09:59:11.000,2.2
M,37,81,51,2011-08-27 14:46:33.753,7.1
F,25,84,36,2011-08-29 15:31:09.637,9.3
M,43,38,64,2011-08-31 15:36:41.000,11.1
M,35,10,29,2011-09-01 21:51:57.000,11.7
F,27,64,37,2011-09-02 07:15:18.000,8.8
M,31,18,13,2011-09-05 18:26:29.000,5.3
M,42,53,73,2011-09-06 16:36:02.000,4.8
F,28,78,71,2011-09-07 19:30:30.630,6.4
F,41,80,59,2011-09-08 07:40:32.000,6.1
M,56,69,74,2011-09-09 13:59:45.530,4.6
F,35,64,84,2011-09-12 18:42:59.343,6.2
F,23,25,52,2011-09-13 21:12:56.000,21.6
F,38,10,14,2011-09-14 19:10:36.000,14.2
M,33,63,56,2011-09-15 15:18:56.000,8.8
F,43,57,65,2011-09-18 10:55:34.000,21.9
M,27,85,9,2011-09-20 17:28:28.123,14.1
M,23,36,83,2011-09-21 13:53:18.710,7.8
M,31,77,73,2011-09-22 22:01:55.000,3.1
F,34,73,36,2011-09-23 07:53:20.000,6.0
M,38,50,16,2011-09-25 14:24:14.000,8.8
F,29,23,10,2011-09-27 00:03:04.000,9.5
F,28,36,17,2011-09-28 07:22:13.000,9.4
M,27,17,6,2011-09-29 14:44:34.000,20.6
M,33,41,19,2011-09-30 18:57:12.000,8.3
M,41,51,64,2011-10-02 20:44:00.000,5.6
M,27,21,42,2011-10-03 19:16:18.000,7.0
F,28,56,58,2011-10-05 18:23:06.000,7.2
M,27,10,43,2011-10-06 21:26:59.000,8.6
F,32,38,71,2011-10-07 09:22:45.000,10.5
M,29,19,18,2011-10-10 14:32:23.000,4.2
M,36,68,60,2011-10-11 09:53:49.000,13.1
M,63,61,61,2011-10-12 12:08:23.143,60.4
F,37,45,34,2011-10-14 16:31:23.000,21.2
M,28,73,77,2011-10-15 13:09:10.000,2.8
M,30,50,64,2011-10-17 14:30:11.000,6.2
F,25,64,71,2011-10-18 12:29:44.000,4.0
M,56,27,69,2011-10-20 17:17:51.000,16.8
M,29,83,59,2011-10-21 19:52:15.000,7.0
M,34,13,14,2011-10-23 11:14:17.850,2.6
M,31,23,10,2011-10-25 18:51:20.000,11.1
M,34,66,73,2011-10-26 23:25:23.633,12.0
M,33,56,71,2011-10-27 10:55:47.000,5.0
M,27,86,5,2011-10-28 15:25:25.000,7.1
M,37,21,27,2011-10-31 15:26:01.000,12.3
M,41,10,27,2011-11-01 17:52:37.000,5.3
M,50,1,34,2011-11-03 16:22:25.000,8.8
F,26,1,12,2011-11-04 15:00:30.000,4.8
M,39,27,43,2011-11-06 11:05:36.000,12.4
M,23,72,72,2011-11-08 14:11:14.000,46.9
F,42,11,1,2011-11-09 15:47:10.000,4.4
M,36,6,18,2011-11-10 12:04:02.000,20.8
F,25,27,46,2011-11-11 19:02:48.000,14.2
M,31,13,61,2011-11-14 16:51:03.357,8.1
M,32,17,49,2011-11-15 12:39:52.000,51.8
F,22,63,23,2011-11-16 08:55:30.000,12.1
M,31,14,61,2011-11-17 14:01:21.943,10.3
F,40,56,71,2011-11-18 15:11:01.000,9.0
M,31,31,48,2011-11-21 14:02:12.000,35.2
M,41,14,86,2011-11-23 15:59:48.000,13.7
F,25,24,7,2011-11-24 22:20:38.000,7.8
M,24,3,4,2011-11-25 09:08:52.000,8.2
F,30,43,29,2011-11-27 09:40:50.000,35.9
M,47,32,30,2011-11-29 16:09:23.000,8.0
M,33,18,83,2011-11-30 20:05:04.000,13.8
F,31,23,72,2011-12-01 08:59:36.000,12.7
M,35,33,38,2011-12-02 11:00:13.000,4.8
M,47,37,56,2011-12-05 20:34:41.753,13.0
M,28,21,27,2011-12-06 19:45:14.000,6.4
M,35,62,4,2011-12-07 08:05:31.000,14.3
F,32,52,2,2011-12-08 13:51:10.000,18.0
M,34,7,1,2011-12-10 17:19:23.000,9.7
M,22,53,72,2011-12-12 19:14:13.000,4.1
M,35,22,13,2011-12-13 14:45:28.000,2.6
M,22,7,27,2011-12-15 18:12:36.000,9.8
F,31,27,4,2011-12-16 16:32:43.000,20.7
M,25,27,15,2011-12-18 15:17:49.000,17.3
M,60,72,46,2011-12-19 13:10:16.000,7.7
M,36,7,13,2011-12-21 19:14:52.000,23.3
F,24,13,26,2011-12-22 13:00:07.000,10.9
M,44,59,67,2011-12-26 16:31:42.000,6.9
M,46,10,87,2011-12-28 21:04:22.000,31.1
M,35,56,83,2011-12-30 18:55:50.000,12.1
M,28,4,59,2012-01-03 17:24:58.090,27.6
M,25,76,84,2012-01-04 07:48:54.000,1.8
F,36,63,60,2012-01-06 18:20:13.000,5.6
F,36,54,54,2012-01-08 15:26:48.000,26.4
M,54,62,72,2012-01-09 08:48:28.000,4.9
F,27,21,81,2012-01-11 20:28:51.000,15.5
M,28,37,42,2012-01-12 19:41:22.000,6.8
M,34,1,19,2012-01-13 15:55:28.000,6.0
M,33,69,69,2012-01-16 18:14:34.000,5.9
F,25,51,22,2012-01-17 08:18:38.000,19.8
M,49,21,18,2012-01-18 13:24:17.000,6.2
M,37,18,19,2012-01-20 16:16:08.000,26.3
F,44,8,43,2012-01-21 14:13:10.000,12.7
M,27,38,69,2012-01-23 17:14:21.000,14.2
M,23,13,38,2012-01-24 20:35:11.000,4.3
F,42,38,73,2012-01-26 11:29:45.807,8.2
F,35,51,75,2012-01-27 11:09:56.000,12.1
M,21,37,38,2012-01-29 10:32:59.000,26.8
M,34,68,84,2012-01-31 13:50:51.000,4.9
M,38,50,77,2012-02-01 19:56:31.000,7.9
M,46,38,16,2012-02-02 13:31:15.000,8.0
M,32,55,54,2012-02-04 17:39:05.000,50.0
M,32,56,51,2012-02-07 15:43:32.093,3.6
F,30,38,58,2012-02-08 10:15:08.000,4.6
M,32,27,18,2012-02-09 10:37:46.000,7.1
M,23,54,58,2012-02-12 21:55:43.000,3.1
M,32,59,36,2012-02-14 18:00:29.000,7.9
M,48,18,30,2012-02-15 16:16:45.000,4.7
F,42,67,73,2012-02-16 19:11:49.343,36.3
M,27,15,46,2012-02-17 14:23:26.000,6.2
M,62,81,50,2012-02-20 17:26:03.000,8.8
M,30,45,60,2012-02-21 22:27:52.000,4.8
M,29,85,27,2012-02-22 06:30:50.000,5.3
F,32,32,32,2012-02-23 21:33:31.000,22.3
M,24,18,16,2012-02-24 11:03:27.000,2.6
M,31,48,90,2012-02-27 23:39:50.963,7.3
M,41,10,16,2012-02-28 09:04:15.000,11.4
F,25,84,37,2012-02-29 08:41:05.033,9.2
F,41,69,69,2012-03-01 11:45:15.000,15.8
M,29,64,57,2012-03-03 21:10:18.000,7.7
M,45,47,69,2012-03-05 18:54:47.000,8.0
M,29,45,84,2012-03-06 13:49:50.000,32.6
M,22,36,45,2012-03-07 14:27:35.000,4.3
M,24,64,13,2012-03-09 20:20:56.000,6.5
F,30,75,56,2012-03-10 12:05:11.593,13.6
M,47,13,16,2012-03-12 10:06:39.000,5.3
M,37,40,72,2012-03-14 18:57:09.000,14.9
F,25,10,17,2012-03-15 15:42:07.000,9.8
M,32,59,67,2012-03-16 21:59:21.000,7.2
M,36,25,48,2012-03-18 20:42:23.000,21.6
M,30,60,75,2012-03-20 09:19:11.000,4.5
M,36,69,60,2012-03-21 14:51:59.000,8.3
M,36,24,35,2012-03-23 07:55:49.000,5.2
M,51,66,58,2012-03-24 11:59:51.000,6.1
M,54,45,64,2012-03-26 15:10:02.000,7.5
M,31,84,74,2012-03-27 14:18:55.000,3.8
F,29,11,42,2012-03-29 21:58:48.000,13.9
M,38,38,53,2012-03-30 13:29:30.000,6.1
F,37,18,7,2012-04-01 11:39:39.000,8.7
M,17,41,10,2012-04-03 15:47:49.000,14.9
M,42,5,86,2012-04-04 10:07:03.000,8.1
F,36,74,27,2012-04-07 14:37:34.000,17.4
M,36,69,36,2012-04-09 15:18:13.000,10.5
F,35,37,44,2012-04-11 15:48:54.000,6.1
M,27,38,49,2012-04-12 19:22:39.000,5.2
M,26,38,1,2012-04-13 08:45:31.000,7.6
M,29,20,25,2012-04-15 13:18:09.000,48.1
M,50,47,31,2012-04-17 15:01:44.000,5.5
M,27,9,46,2012-04-18 10:06:54.000,11.0
M,50,47,70,2012-04-19 14:11:10.000,37.8
F,27,46,29,2012-04-20 12:24:26.000,18.8
M,25,21,31,2012-04-23 17:30:09.000,15.3
M,29,71,40,2012-04-24 19:23:27.000,7.2
M,55,66,68,2012-04-25 17:22:49.000,96.2
M,31,81,75,2012-04-26 18:16:19.000,6.2
M,30,5,7,2012-04-27 10:08:40.000,5.0
M,34,71,61,2012-04-30 12:16:42.920,16.5
F,25,22,85,2012-05-01 17:18:13.000,10.8
M,32,18,42,2012-05-03 21:11:07.000,5.5
M,31,32,35,2012-05-04 15:18:04.000,4.1
M,29,7,40,2012-05-06 07:24:10.000,14.3
M,26,56,28,2012-05-07 08:35:27.000,9.7
F,61,57,24,2012-05-09 14:38:20.000,12.6
M,38,50,56,2012-05-10 09:56:17.867,4.2
M,29,31,29,2012-05-11 18:05:23.000,10.1
M,31,20,87,2012-05-13 15:19:01.000,15.4
M,52,8,8,2012-05-15 14:02:32.000,4.7
M,35,36,26,2012-05-16 18:20:25.000,16.2
M,37,30,55,2012-05-17 18:38:56.000,20.6
M,29,63,38,2012-05-18 18:41:12.000,7.3
M,20,21,27,2012-05-20 20:19:57.000,9.9
M,37,4,85,2012-05-21 09:29:15.000,7.2
M,24,31,41,2012-05-23 21:57:42.000,9.4
M,36,34,1,2012-05-24 15:50:01.000,9.8
M,26,1,7,2012-05-25 13:01:14.000,7.0
F,22,7,2,2012-05-26 07:33:21.000,3.8
M,28,24,9,2012-05-28 18:26:36.000,34.4
M,35,42,25,2012-05-29 08:43:07.000,6.8
F,57,78,83,2012-05-30 08:15:18.000,5.1
M,46,13,26,2012-05-31 09:23:18.000,11.2
F,28,46,82,2012-06-02 18:35:54.000,208.1
M,33,79,72,2012-06-04 18:23:49.000,3.5
F,37,83,47,2012-06-05 11:23:26.000,8.2
F,39,72,33,2012-06-06 09:56:58.000,18.3
M,28,13,41,2012-06-08 19:17:21.000,17.4
M,27,7,40,2012-06-09 09:45:22.000,6.8
M,30,86,14,2012-06-11 09:16:35.050,11.8
M,61,20,18,2012-06-12 08:28:51.000,3.9
M,23,84,50,2012-06-13 15:04:16.000,6.8
M,39,14,52,2012-06-14 12:32:49.000,21.6
F,28,32,73,2012-06-16 00:26:40.427,11.0
M,28,55,27,2012-06-18 13:37:34.000,35.3
M,43,21,31,2012-06-20 20:23:35.000,11.7
F,27,2,4,2012-06-21 08:38:55.000,5.4
M,44,66,37,2012-06-23 11:39:31.863,7.0
M,26,3,82,2012-06-25 08:05:22.000,8.6
F,20,41,87,2012-06-26 14:05:15.000,21.6
M,32,85,85,2012-06-27 13:52:12.000,21.4
F,32,78,74,2012-06-29 19:50:05.000,6.5
M,56,74,66,2012-07-01 13:18:26.483,5.2
F,26,41,3,2012-07-03 19:36:22.000,6.3
M,26,15,36,2012-07-04 20:03:50.000,9.1
F,43,75,58,2012-07-05 11:24:52.000,4.7
F,38,35,19,2012-07-07 21:28:08.000,4.8
M,29,86,7,2012-07-09 15:19:12.000,13.2
M,57,45,59,2012-07-10 12:27:53.293,6.2
M,38,71,84,2012-07-12 15:41:15.000,4.9
M,52,81,79,2012-07-13 10:27:51.913,74.4
M,29,77,34,2012-07-16 16:15:39.000,11.5
M,23,40,67,2012-07-17 07:49:05.000,7.7
F,52,28,15,2012-07-19 17:55:03.313,23.5
M,55,10,16,2012-07-20 08:21:53.000,9.1
M,28,15,13,2012-07-22 22:16:25.000,2.1
M,34,82,7,2012-07-24 17:51:57.000,16.3
F,45,45,60,2012-07-25 21:32:35.000,5.9
M,29,59,28,2012-07-26 08:44:08.000,6.4
M,33,89,74,2012-07-28 15:31:17.000,32.6
M,43,21,10,2012-07-30 09:21:55.000,14.4
F,30,51,74,2012-07-31 14:40:16.000,13.2
F,50,41,5,2012-08-01 16:25:02.510,12.4
F,34,66,63,2012-08-03 15:56:45.000,10.1
M,25,10,1,2012-08-05 14:21:39.000,7.6
M,51,15,27,2012-08-07 17:48:10.000,8.9
M,38,38,36,2012-08-08 20:43:10.000,3.4
M,36,31,48,2012-08-09 11:57:34.000,15.5
M,33,41,10,2012-08-12 20:47:35.000,11.1
M,35,17,35,2012-08-14 18:34:53.000,4.5
M,24,68,85,2012-08-15 23:47:10.000,18.1
M,40,76,79,2012-08-16 19:32:19.237,3.3
F,43,51,38,2012-08-17 10:10:32.000,8.8
F,53,76,1,2012-08-20 19:44:47.000,24.2
M,41,41,19,2012-08-21 10:42:37.000,10.9
M,32,40,17,2012-08-23 15:58:26.000,4.4
M,47,45,64,2012-08-24 08:38:51.000,6.2
M,37,13,79,2012-08-27 16:24:54.707,9.4
M,27,1,17,2012-08-28 10:14:18.000,5.0
M,48,48,19,2012-08-29 14:31:57.000,12.4
M,25,81,71,2012-08-31 15:31:06.000,4.6
M,29,76,27,2012-09-01 12:43:37.000,12.7
M,58,56,56,2012-09-03 14:09:50.890,19.8
F,30,10,25,2012-09-05 15:40:35.000,6.4
M,24,72,13,2012-09-06 19:49:36.000,12.9
F,42,60,56,2012-09-07 14:31:33.760,12.0
M,32,56,78,2012-09-10 20:35:26.000,11.5
M,34,64,53,2012-09-11 08:35:20.000,8.9
M,26,28,85,2012-09-13 20:06:45.000,13.9
M,35,36,44,2012-09-14 12:29:37.000,2.1
M,30,3,34,2012-09-17 08:35:21.000,6.4
M,58,38,76,2012-09-18 19:05:14.000,21.9
F,55,211,211,2012-09-19 07:33:43.000,4.1
F,54,58,58,2012-09-20 16:51:56.000,19.2
F,31,17,8,2012-09-21 19:40:26.000,7.8
F,27,37,54,2012-09-22 19:53:42.000,4.6
M,24,32,24,2012-09-24 22:16:38.000,5.5
