,Genero_Usuario,Edad_Usuario,Ciclo_Estacion_Retiro,Ciclo_Estacion_Arribo,Usage_Timestamp,Duration(Min)
60,M,36,79,36,2010-11-09 09:28:17.940,9.9
61,M,45,40,56,2010-11-11 19:25:44.993,8.0
62,M,27,68,30,2010-11-13 13:16:28.037,13.5
63,F,31,47,54,2010-11-16 12:02:32.930,4.5
64,F,23,25,27,2010-11-18 14:29:50.013,4.0
65,M,28,19,19,2010-11-21 23:46:16.967,3.5
66,M,45,7,46,2010-11-23 19:01:19.733,7.2
67,M,45,13,38,2010-11-25 15:45:09.880,5.6
68,F,32,63,46,2010-11-26 12:22:39.357,18.3
69,M,28,60,32,2010-11-29 19:51:56.543,11.3
70,M,40,28,31,2010-12-01 18:22:35.310,7.2
71,M,28,25,22,2010-12-02 08:39:01.603,5.1
72,M,27,14,17,2010-12-04 12:19:02.727,4.1
73,F,37,24,34,2010-12-07 12:45:33.173,7.3
74,F,26,46,31,2010-12-08 11:33:40.440,12.0
75,M,33,13,22,2010-12-10 07:32:37.997,3.9
76,F,25,16,27,2010-12-13 18:12:00.393,6.4
77,M,23,29,20,2010-12-15 17:18:28.570,16.7
78,M,28,2,27,2010-12-16 10:37:44.193,5.5
79,F,27,79,64,2010-12-18 19:17:21.917,7.1
80,F,28,12,38,2010-12-20 13:30:32.413,19.2
81,F,33,25,1,2010-12-22 09:13:26.757,16.9
82,M,20,47,70,2010-12-25 12:50:15.407,17.9
83,M,38,77,66,2010-12-28 14:29:46.263,3.1
84,M,34,25,2,2010-12-31 17:23:23.753,5.5
85,F,41,45,36,2011-01-03 16:40:46.520,10.8
86,M,59,19,87,2011-01-05 16:20:59.047,16.5
87,F,30,46,56,2011-01-07 17:37:49.930,4.9
88,F,21,46,38,2011-01-09 15:14:33.343,3.8
89,M,36,22,13,2011-01-10 11:12:20.623,2.2
90,M,21,13,18,2011-01-12 22:25:19.783,28.5
91,M,25,81,84,2011-01-13 14:58:09.693,18.2
92,M,28,84,64,2011-01-15 12:29:31.413,10.0
93,M,29,63,84,2011-01-17 19:51:37.143,4.7
94,F,28,68,77,2011-01-18 08:37:33.923,4.8
95,M,50,73,81,2011-01-19 11:54:26.360,5.5
96,M,37,37,70,2011-01-21 16:11:44.400,30.4
97,M,37,63,37,2011-01-22 14:05:19.563,6.0
98,M,38,78,58,2011-01-24 13:00:07.530,10.7
99,M,31,22,27,2011-01-25 13:59:48.417,7.1
100,M,39,24,30,2011-01-26 11:56:59.850,4.8
101,M,20,27,61,2011-01-28 16:48:21.367,94.9
102,M,42,12,87,2011-01-29 14:43:01.507,48.8
103,M,51,61,59,2011-01-31 19:01:52.747,9.2
104,M,46,11,21,2011-02-01 09:42:59.797,9.0
105,M,55,34,25,2011-02-02 09:53:34.287,4.1
106,M,29,15,18,2011-02-04 15:17:21.860,6.0
107,F,35,53,66,2011-02-05 13:25:38.047,7.2
108,M,36,45,38,2011-02-08 17:21:49.740,23.0
109,M,53,27,85,2011-02-09 15:36:02.117,4.6
110,M,24,11,28,2011-02-10 16:01:31.723,9.9
111,F,29,54,69,2011-02-11 20:47:58.927,25.9
112,M,27,89,31,2011-02-12 14:14:21.310,25.4
113,M,43,80,37,2011-02-14 19:20:10.660,10.6
114,F,31,27,18,2011-02-15 19:58:51.883,38.0
115,M,44,9,47,2011-02-16 09:09:48.920,6.4
116,M,58,18,1,2011-02-17 07:46:23.823,5.2
117,M,58,73,70,2011-02-18 11:59:53.577,17.1
118,M,20,23,13,2011-02-20 13:47:06.100,7.1
119,F,26,26,43,2011-02-21 13:12:14.463,5.2
120,M,51,30,9,2011-02-23 18:05:40.180,5.0
121,M,26,42,27,2011-02-24 18:25:52.790,6.5
122,F,40,43,88,2011-02-25 17:35:22.540,8.9
123,F,31,24,77,2011-02-26 21:04:19.600,17.7
124,M,29,22,6,2011-02-28 13:49:02.973,9.0
125,M,51,41,27,2011-03-01 08:35:30.127,9.9
126,M,21,1,12,2011-03-02 16:33:32.290,5.4
127,M,42,59,62,2011-03-03 14:46:05.177,51.6
128,M,34,86,17,2011-03-04 15:52:41.347,5.2
129,M,45,5,28,2011-03-05 21:03:10.753,13.9
130,F,42,51,58,2011-03-07 16:16:52.403,3.3
131,M,34,38,65,2011-03-08 21:22:28.893,24.7
132,M,26,1,47,2011-03-09 19:46:37.780,14.0
133,M,38,13,52,2011-03-10 16:31:08.907,23.2
134,M,28,78,84,2011-03-11 19:08:30.003,6.0
135,M,46,63,77,2011-03-12 10:52:57.490,6.4
136,M,28,39,25,2011-03-14 19:53:30.097,5.2
137,M,40,79,62,2011-03-15 23:45:14.760,7.5
138,F,29,75,69,2011-03-16 21:05:43.790,14.0
139,M,25,30,13,2011-03-17 21:33:26.057,11.0
140,M,29,21,56,2011-03-18 18:54:20.420,11.8
141,M,22,85,86,2011-03-19 12:57:56.850,13.2
142,F,53,43,13,2011-03-22 08:28:30.800,17.3
143,M,46,81,73,2011-03-23 19:05:24.840,6.1
144,M,29,86,31,2011-03-24 19:23:44.627,4.4
145,M,30,21,20,2011-03-25 17:41:14.337,17.3
146,F,26,49,56,2011-03-26 10:27:09.933,7.5
147,F,41,87,29,2011-03-27 12:11:36.093,33.4
148,M,59,8,7,2011-03-28 13:46:45.680,16.1
149,M,28,8,41,2011-03-29 11:57:37.903,6.0
150,M,29,80,84,2011-03-30 14:43:22.073,2.4
151,F,34,16,7,2011-03-31 15:08:50.293,5.7
152,F,31,1,18,2011-04-01 15:00:48.160,9.7
153,F,55,43,82,2011-04-03 09:50:06.903,43.0
154,F,35,13,16,2011-04-04 14:13:07.327,4.3
155,M,45,3,4,2011-04-05 14:44:40.167,21.9
156,M,34,8,17,2011-04-06 08:52:12.513,5.4
157,M,26,34,27,2011-04-07 08:14:54.963,5.4
158,M,39,69,68,2011-04-08 09:54:23.963,2.9
159,M,30,8,36,2011-04-10 15:02:25.443,11.7
160,M,61,84,35,2011-04-11 11:04:47.203,26.7
161,M,42,80,70,2011-04-12 10:56:22.487,14.9
162,F,25,20,17,2011-04-13 09:04:25.103,5.2
163,M,31,35,5,2011-04-14 09:17:36.343,6.4
164,M,37,72,45,2011-04-15 07:56:35.147,6.0
165,F,24,25,87,2011-04-17 08:52:57.523,23.5
166,M,17,46,40,2011-04-19 14:47:17.297,5.8
167,M,38,81,64,2011-04-20 18:04:52.703,6.5
168,F,30,26,43,2011-04-22 12:13:36.047,5.7
169,F,45,23,23,2011-04-25 16:48:45.910,12.6
170,M,41,64,51,2011-04-26 20:26:24.557,5.9
171,F,51,58,47,2011-04-27 19:22:10.320,4.9
172,F,24,27,41,2011-04-28 20:14:46.303,20.6
173,M,43,60,64,2011-04-29 10:17:37.600,8.1
174,M,51,81,40,2011-05-01 12:02:27.160,24.9
175,M,49,56,51,2011-05-02 12:49:50.537,3.9
176,M,25,59,84,2011-05-03 12:27:12.193,5.0
177,M,37,8,22,2011-05-05 09:10:07.913,8.5
178,M,49,80,74,2011-05-06 15:11:01.293,2.5
179,M,54,1,11,2011-05-07 10:10:38.063,18.2
180,M,29,62,56,2011-05-09 12:46:21.723,7.1
181,M,46,27,4,2011-05-10 08:33:57.677,5.7
182,M,24,20,14,2011-05-11 15:41:26.053,12.5
183,M,42,56,90,2011-05-13 16:17:23.790,43.6
184,M,53,51,40,2011-05-14 20:12:43.060,3.7
185,M,38,46,60,2011-05-16 15:36:44.240,6.2
186,M,40,63,63,2011-05-17 15:39:37.520,30.2
187,M,20,69,80,2011-05-18 21:45:11.100,12.5
188,F,26,84,75,2011-05-19 19:12:12.760,7.1
189,M,28,29,39,2011-05-20 18:12:05.397,20.2
190,M,27,19,21,2011-05-22 23:04:16.470,10.3
191,M,34,42,80,2011-05-23 10:11:55.337,10.5
192,M,35,66,53,2011-05-24 09:36:33.017,2.4
193,F,36,21,69,2011-05-26 15:20:19.143,11.3
194,M,27,64,38,2011-05-27 16:55:01.463,7.5
195,M,27,10,58,2011-05-28 12:32:17.350,20.2
196,M,21,77,64,2011-05-30 08:47:51.860,9.6
197,M,22,82,32,2011-05-31 20:39:47.243,21.4
198,M,32,72,74,2011-06-01 10:06:29.857,8.4
199,F,30,23,47,2011-06-02 19:56:08.380,4.1
200,M,23,22,13,2011-06-03 10:29:14.563,1.8
201,M,45,54,54,2011-06-05 18:27:28.810,3.5
202,M,27,32,86,2011-06-06 15:27:05.987,9.1
203,M,31,31,89,2011-06-07 22:39:58.330,12.7
204,F,31,23,1,2011-06-08 10:04:34.183,7.0
205,M,29,16,43,2011-06-09 20:08:29.007,31.2
206,M,44,73,66,2011-06-11 16:48:33.130,18.6
207,M,56,61,61,2011-06-13 17:30:52.237,18.2
208,M,27,13,27,2011-06-14 21:21:21.297,8.1
209,F,27,13,80,2011-06-15 19:26:26.667,10.7
210,M,23,68,53,2011-06-16 14:28:56.977,6.7
211,M,56,24,29,2011-06-17 19:22:35.427,12.5
212,M,60,32,4,2011-06-19 21:20:19.727,6.5
213,F,21,27,1,2011-06-20 15:27:46.860,84.1
214,M,53,65,31,2011-06-21 12:52:34.920,16.4
215,F,22,18,35,2011-06-23 18:23:13.807,4.2
216,M,28,77,61,2011-06-24 09:10:13.613,9.9
217,F,30,82,20,2011-06-26 10:48:55.350,66.5
218,F,23,61,84,2011-06-28 18:54:52.387,8.3
219,M,27,24,47,2011-06-29 14:18:47.227,5.8
220,M,56,54,68,2011-07-01 09:35:28.533,4.5
221,F,39,2,87,2011-07-03 11:52:44.627,27.2
222,F,23,19,14,2011-07-05 14:18:03.327,9.8
223,M,25,1,1,2011-07-06 20:17:08.883,27.1
224,M,31,13,19,2011-07-08 16:41:07.040,11.1
225,F,21,78,13,2011-07-09 14:23:08.053,23.1
226,M,48,44,44,2011-07-11 13:26:58.293,11.5
227,M,23,36,63,2011-07-13 17:19:12.027,4.3
228,F,42,18,82,2011-07-14 19:35:40.563,16.1
229,F,29,70,83,2011-07-15 23:05:18.680,8.0
230,M,24,82,41,2011-07-18 11:08:29.013,82.5
231,M,36,16,11,2011-07-19 11:22:51.413,6.7
232,F,20,67,67,2011-07-20 18:06:18.010,31.7
233,M,27,73,36,2011-07-22 21:20:11.717,5.4
234,M,35,83,74,2011-07-24 19:08:36.860,3.1
235,F,20,8,85,2011-07-26 14:28:25.113,8.5
236,M,57,80,74,2011-07-27 10:09:19.947,3.5
237,M,57,24,8,2011-07-28 10:05:35.330,6.5
238,F,26,31,1,2011-07-30 11:39:34.640,7.8
239,M,60,33,62,2011-08-01 08:18:14.013,10.5
240,M,51,24,6,2011-08-02 15:06:09.080,5.7
241,F,31,10,38,2011-08-04 18:47:34.440,19.0
242,M,36,46,64,2011-08-05 21:09:17.900,6.5
243,M,18,74,70,2011-08-07 20:57:20.287,7.6
244,M,28,73,76,2011-08-08 14:21:51.240,3.9
245,M,45,70,21,2011-08-10 17:30:04.803,8.5
246,M,40,61,47,2011-08-11 16:43:17.397,5.2
247,M,35,64,90,2011-08-12 19:10:54.787,23.9
248,M,60,67,77,2011-08-14 20:52:45.123,3.1
249,M,31,61,44,2011-08-15 14:53:26.303,4.8
250,F,38,64,50,2011-08-16 17:02:13.713,8.9
251,F,35,28,13,2011-08-18 15:33:24.000,3.5
252,M,30,21,75,2011-08-19 22:30:16.000,15.9
253,M,33,1,17,2011-08-21 17:06:36.000,5.6
254,M,31,19,52,2011-08-23 16:19:19.000,10.9
255,M,39,29,87,2011-08-24 18:15:33.610,8.0
256,M,28,35,33,2011-08-25 09:59:11.000,2.2
257,M,37,81,51,2011-08-27 14:46:33.753,7.1
258,F,25,84,36,2011-08-29 15:31:09.637,9.3
259,M,43,38,64,2011-08-31 15:36:41.000,11.1
260,M,35,10,29,2011-09-01 21:51:57.000,11.7
261,F,27,64,37,2011-09-02 07:15:18.000,8.8
262,M,31,18,13,2011-09-05 18:26:29.000,5.3
263,M,42,53,73,2011-09-06 16:36:02.000,4.8
264,F,28,78,71,2011-09-07 19:30:30.630,6.4
265,F,41,80,59,2011-09-08 07:40:32.000,6.1
266,M,56,69,74,2011-09-09 13:59:45.530,4.6
267,F,35,64,84,2011-09-12 18:42:59.343,6.2
268,F,23,25,52,2011-09-13 21:12:56.000,21.6
269,F,38,10,14,2011-09-14 19:10:36.000,14.2
270,M,33,63,56,2011-09-15 15:18:56.000,8.8
271,F,43,57,65,2011-09-18 10:55:34.000,21.9
272,M,27,85,9,2011-09-20 17:28:28.123,14.1
273,M,23,36,83,2011-09-21 13:53:18.710,7.8
274,M,31,77,73,2011-09-22 22:01:55.000,3.1
275,F,34,73,36,2011-09-23 07:53:20.000,6.0
276,M,38,50,16,2011-09-25 14:24:14.000,8.8
277,F,29,23,10,2011-09-27 00:03:04.000,9.5
278,F,28,36,17,2011-09-28 07:22:13.000,9.4
279,M,27,17,6,2011-09-29 14:44:34.000,20.6
280,M,33,41,19,2011-09-30 18:57:12.000,8.3
281,M,41,51,64,2011-10-02 20:44:00.000,5.6
282,M,27,21,42,2011-10-03 19:16:18.000,7.0
283,F,28,56,58,2011-10-05 18:23:06.000,7.2
284,M,27,10,43,2011-10-06 21:26:59.000,8.6
285,F,32,38,71,2011-10-07 09:22:45.000,10.5
286,M,29,19,18,2011-10-10 14:32:23.000,4.2
287,M,36,68,60,2011-10-11 09:53:49.000,13.1
288,M,63,61,61,2011-10-12 12:08:23.143,60.4
289,F,37,45,34,2011-10-14 16:31:23.000,21.2
290,M,28,73,77,2011-10-15 13:09:10.000,2.8
291,M,30,50,64,2011-10-17 14:30:11.000,6.2
292,F,25,64,71,2011-10-18 12:29:44.000,4.0
293,M,56,27,69,2011-10-20 17:17:51.000,16.8
294,M,29,83,59,2011-10-21 19:52:15.000,7.0
295,M,34,13,14,2011-10-23 11:14:17.850,2.6
296,M,31,23,10,2011-10-25 18:51:20.000,11.1
297,M,34,66,73,2011-10-26 23:25:23.633,12.0
298,M,33,56,71,2011-10-27 10:55:47.000,5.0
299,M,27,86,5,2011-10-28 15:25:25.000,7.1
300,M,37,21,27,2011-10-31 15:26:01.000,12.3
301,M,41,10,27,2011-11-01 17:52:37.000,5.3
302,M,50,1,34,2011-11-03 16:22:25.000,8.8
303,F,26,1,12,2011-11-04 15:00:30.000,4.8
304,M,39,27,43,2011-11-06 11:05:36.000,12.4
305,M,23,72,72,2011-11-08 14:11:14.000,46.9
306,F,42,11,1,2011-11-09 15:47:10.000,4.4
307,M,36,6,18,2011-11-10 12:04:02.000,20.8
308,F,25,27,46,2011-11-11 19:02:48.000,14.2
309,M,31,13,61,2011-11-14 16:51:03.357,8.1
310,M,32,17,49,2011-11-15 12:39:52.000,51.8
311,F,22,63,23,2011-11-16 08:55:30.000,12.1
312,M,31,14,61,2011-11-17 14:01:21.943,10.3
313,F,40,56,71,2011-11-18 15:11:01.000,9.0
314,M,31,31,48,2011-11-21 14:02:12.000,35.2
315,M,41,14,86,2011-11-23 15:59:48.000,13.7
316,F,25,24,7,2011-11-24 22:20:38.000,7.8
317,M,24,3,4,2011-11-25 09:08:52.000,8.2
318,F,30,43,29,2011-11-27 09:40:50.000,35.9
319,M,47,32,30,2011-11-29 16:09:23.000,8.0
320,M,33,18,83,2011-11-30 20:05:04.000,13.8
321,F,31,23,72,2011-12-01 08:59:36.000,12.7
322,M,35,33,38,2011-12-02 11:00:13.000,4.8
323,M,47,37,56,2011-12-05 20:34:41.753,13.0
324,M,28,21,27,2011-12-06 19:45:14.000,6.4
325,M,35,62,4,2011-12-07 08:05:31.000,14.3
326,F,32,52,2,2011-12-08 13:51:10.000,18.0
327,M,34,7,1,2011-12-10 17:19:23.000,9.7
328,M,22,53,72,2011-12-12 19:14:13.000,4.1
329,M,35,22,13,2011-12-13 14:45:28.000,2.6
330,M,22,7,27,2011-12-15 18:12:36.000,9.8
331,F,31,27,4,2011-12-16 16:32:43.000,20.7
332,M,25,27,15,2011-12-18 15:17:49.000,17.3
333,M,60,72,46,2011-12-19 13:10:16.000,7.7
334,M,36,7,13,2011-12-21 19:14:52.000,23.3
335,F,24,13,26,2011-12-22 13:00:07.000,10.9
336,M,44,59,67,2011-12-26 16:31:42.000,6.9
337,M,46,10,87,2011-12-28 21:04:22.000,31.1
338,M,35,56,83,2011-12-30 18:55:50.000,12.1
339,M,28,4,59,2012-01-03 17:24:58.090,27.6
340,M,25,76,84,2012-01-04 07:48:54.000,1.8
341,F,36,63,60,2012-01-06 18:20:13.000,5.6
342,F,36,54,54,2012-01-08 15:26:48.000,26.4
343,M,54,62,72,2012-01-09 08:48:28.000,4.9
344,F,27,21,81,2012-01-11 20:28:51.000,15.5
345,M,28,37,42,2012-01-12 19:41:22.000,6.8
346,M,34,1,19,2012-01-13 15:55:28.000,6.0
347,M,33,69,69,2012-01-16 18:14:34.000,5.9
348,F,25,51,22,2012-01-17 08:18:38.000,19.8
349,M,49,21,18,2012-01-18 13:24:17.000,6.2
350,M,37,18,19,2012-01-20 16:16:08.000,26.3
351,F,44,8,43,2012-01-21 14:13:10.000,12.7
352,M,27,38,69,2012-01-23 17:14:21.000,14.2
353,M,23,13,38,2012-01-24 20:35:11.000,4.3
354,F,42,38,73,2012-01-26 11:29:45.807,8.2
355,F,35,51,75,2012-01-27 11:09:56.000,12.1
356,M,21,37,38,2012-01-29 10:32:59.000,26.8
357,M,34,68,84,2012-01-31 13:50:51.000,4.9
358,M,38,50,77,2012-02-01 19:56:31.000,7.9
359,M,46,38,16,2012-02-02 13:31:15.000,8.0
360,M,32,55,54,2012-02-04 17:39:05.000,50.0
361,M,32,56,51,2012-02-07 15:43:32.093,3.6
362,F,30,38,58,2012-02-08 10:15:08.000,4.6
363,M,32,27,18,2012-02-09 10:37:46.000,7.1
364,M,23,54,58,2012-02-12 21:55:43.000,3.1
365,M,32,59,36,2012-02-14 18:00:29.000,7.9
366,M,48,18,30,2012-02-15 16:16:45.000,4.7
367,F,42,67,73,2012-02-16 19:11:49.343,36.3
368,M,27,15,46,2012-02-17 14:23:26.000,6.2
369,M,62,81,50,2012-02-20 17:26:03.000,8.8
370,M,30,45,60,2012-02-21 22:27:52.000,4.8
371,M,29,85,27,2012-02-22 06:30:50.000,5.3
372,F,32,32,32,2012-02-23 21:33:31.000,22.3
373,M,24,18,16,2012-02-24 11:03:27.000,2.6
374,M,31,48,90,2012-02-27 23:39:50.963,7.3
375,M,41,10,16,2012-02-28 09:04:15.000,11.4
376,F,25,84,37,2012-02-29 08:41:05.033,9.2
377,F,41,69,69,2012-03-01 11:45:15.000,15.8
378,M,29,64,57,2012-03-03 21:10:18.000,7.7
379,M,45,47,69,2012-03-05 18:54:47.000,8.0
380,M,29,45,84,2012-03-06 13:49:50.000,32.6
381,M,22,36,45,2012-03-07 14:27:35.000,4.3
382,M,24,64,13,2012-03-09 20:20:56.000,6.5
383,F,30,75,56,2012-03-10 12:05:11.593,13.6
384,M,47,13,16,2012-03-12 10:06:39.000,5.3
385,M,37,40,72,2012-03-14 18:57:09.000,14.9
386,F,25,10,17,2012-03-15 15:42:07.000,9.8
387,M,32,59,67,2012-03-16 21:59:21.000,7.2
388,M,36,25,48,2012-03-18 20:42:23.000,21.6
389,M,30,60,75,2012-03-20 09:19:11.000,4.5
390,M,36,69,60,2012-03-21 14:51:59.000,8.3
391,M,36,24,35,2012-03-23 07:55:49.000,5.2
392,M,51,66,58,2012-03-24 11:59:51.000,6.1
393,M,54,45,64,2012-03-26 15:10:02.000,7.5
394,M,31,84,74,2012-03-27 14:18:55.000,3.8
395,F,29,11,42,2012-03-29 21:58:48.000,13.9
396,M,38,38,53,2012-03-30 13:29:30.000,6.1
397,F,37,18,7,2012-04-01 11:39:39.000,8.7
398,M,17,41,10,2012-04-03 15:47:49.000,14.9
399,M,42,5,86,2012-04-04 10:07:03.000,8.1
400,F,36,74,27,2012-04-07 14:37:34.000,17.4
401,M,36,69,36,2012-04-09 15:18:13.000,10.5
402,F,35,37,44,2012-04-11 15:48:54.000,6.1
403,M,27,38,49,2012-04-12 19:22:39.000,5.2
404,M,26,38,1,2012-04-13 08:45:31.000,7.6
405,M,29,20,25,2012-04-15 13:18:09.000,48.1
406,M,50,47,31,2012-04-17 15:01:44.000,5.5
407,M,27,9,46,2012-04-18 10:06:54.000,11.0
408,M,50,47,70,2012-04-19 14:11:10.000,37.8
409,F,27,46,29,2012-04-20 12:24:26.000,18.8
410,M,25,21,31,2012-04-23 17:30:09.000,15.3
411,M,29,71,40,2012-04-24 19:23:27.000,7.2
412,M,55,66,68,2012-04-25 17:22:49.000,96.2
413,M,31,81,75,2012-04-26 18:16:19.000,6.2
414,M,30,5,7,2012-04-27 10:08:40.000,5.0
415,M,34,71,61,2012-04-30 12:16:42.920,16.5
416,F,25,22,85,2012-05-01 17:18:13.000,10.8
417,M,32,18,42,2012-05-03 21:11:07.000,5.5
418,M,31,32,35,2012-05-04 15:18:04.000,4.1
419,M,29,7,40,2012-05-06 07:24:10.000,14.3
420,M,26,56,28,2012-05-07 08:35:27.000,9.7
421,F,61,57,24,2012-05-09 14:38:20.000,12.6
422,M,38,50,56,2012-05-10 09:56:17.867,4.2
423,M,29,31,29,2012-05-11 18:05:23.000,10.1
424,M,31,20,87,2012-05-13 15:19:01.000,15.4
425,M,52,8,8,2012-05-15 14:02:32.000,4.7
426,M,35,36,26,2012-05-16 18:20:25.000,16.2
427,M,37,30,55,2012-05-17 18:38:56.000,20.6
428,M,29,63,38,2012-05-18 18:41:12.000,7.3
429,M,20,21,27,2012-05-20 20:19:57.000,9.9
430,M,37,4,85,2012-05-21 09:29:15.000,7.2
431,M,24,31,41,2012-05-23 21:57:42.000,9.4
432,M,36,34,1,2012-05-24 15:50:01.000,9.8
433,M,26,1,7,2012-05-25 13:01:14.000,7.0
434,F,22,7,2,2012-05-26 07:33:21.000,3.8
435,M,28,24,9,2012-05-28 18:26:36.000,34.4
436,M,35,42,25,2012-05-29 08:43:07.000,6.8
437,F,57,78,83,2012-05-30 08:15:18.000,5.1
438,M,46,13,26,2012-05-31 09:23:18.000,11.2
439,F,28,46,82,2012-06-02 18:35:54.000,208.1
440,M,33,79,72,2012-06-04 18:23:49.000,3.5
441,F,37,83,47,2012-06-05 11:23:26.000,8.2
442,F,39,72,33,2012-06-06 09:56:58.000,18.3
443,M,28,13,41,2012-06-08 19:17:21.000,17.4
444,M,27,7,40,2012-06-09 09:45:22.000,6.8
445,M,30,86,14,2012-06-11 09:16:35.050,11.8
446,M,61,20,18,2012-06-12 08:28:51.000,3.9
447,M,23,84,50,2012-06-13 15:04:16.000,6.8
448,M,39,14,52,2012-06-14 12:32:49.000,21.6
449,F,28,32,73,2012-06-16 00:26:40.427,11.0
450,M,28,55,27,2012-06-18 13:37:34.000,35.3
451,M,43,21,31,2012-06-20 20:23:35.000,11.7
452,F,27,2,4,2012-06-21 08:38:55.000,5.4
453,M,44,66,37,2012-06-23 11:39:31.863,7.0
454,M,26,3,82,2012-06-25 08:05:22.000,8.6
455,F,20,41,87,2012-06-26 14:05:15.000,21.6
456,M,32,85,85,2012-06-27 13:52:12.000,21.4
457,F,32,78,74,2012-06-29 19:50:05.000,6.5
458,M,56,74,66,2012-07-01 13:18:26.483,5.2
459,F,26,41,3,2012-07-03 19:36:22.000,6.3
460,M,26,15,36,2012-07-04 20:03:50.000,9.1
461,F,43,75,58,2012-07-05 11:24:52.000,4.7
462,F,38,35,19,2012-07-07 21:28:08.000,4.8
463,M,29,86,7,2012-07-09 15:19:12.000,13.2
464,M,57,45,59,2012-07-10 12:27:53.293,6.2
465,M,38,71,84,2012-07-12 15:41:15.000,4.9
466,M,52,81,79,2012-07-13 10:27:51.913,74.4
467,M,29,77,34,2012-07-16 16:15:39.000,11.5
468,M,23,40,67,2012-07-17 07:49:05.000,7.7
469,F,52,28,15,2012-07-19 17:55:03.313,23.5
470,M,55,10,16,2012-07-20 08:21:53.000,9.1
471,M,28,15,13,2012-07-22 22:16:25.000,2.1
472,M,34,82,7,2012-07-24 17:51:57.000,16.3
473,F,45,45,60,2012-07-25 21:32:35.000,5.9
474,M,29,59,28,2012-07-26 08:44:08.000,6.4
475,M,33,89,74,2012-07-28 15:31:17.000,32.6
476,M,43,21,10,2012-07-30 09:21:55.000,14.4
477,F,30,51,74,2012-07-31 14:40:16.000,13.2
